27 (27, b'Rev82', 0, 18, 17, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Wheel_2', (0.707107, 0.0, -0.707107), (4.504244516603806e-07, 4.023552892390425e-07, -3.5731931063813505e-07), (0.0, 0.0, 0.0, 1.0), 26)28 (28, b'Rigid88', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Roller_4', (0.0, 0.0, 0.0), (0.0040023423283689985, 0.008547469782646132, 0.024020273103776687), (0.0, 0.0, 0.0, 1.0), 21)
29 (29, b'Rev83', 0, 19, 18, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Wheel_4', (0.707107, 0.5, -0.5), (4.504244702843718e-07, 4.916031601017584e-07, 2.3179852237740356e-07), (0.0, 0.0, 0.0, 1.0), 28)
30 (30, b'Rigid89', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Roller_3', (0.0, 0.0, 0.0), (0.0040023423283689985, -0.010940530217353868, 0.023029273103776688), (0.0, 0.0, 0.0, 1.0), 21)
31 (31, b'Rev85', 0, 20, 19, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Wheel_3', (0.707107, 0.707107, 0.0), (4.5042449598603485e-07, 1.0020568926710771e-07, 2.0567622230349691e-07), (0.0, 0.0, 0.0, 1.0), 30)32 (32, b'Rigid90', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Roller_5', (0.0, 0.0, 0.0), (0.0040023423283689985, -0.02402053021735387, 0.008548273103776687), (0.0, 0.0, 0.0, 1.0), 21)
33 (33, b'Rev84', 0, 21, 20, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Wheel_5', (0.707107, 0.5, 0.5), (4.504245215350422e-07, -4.889121356316597e-07, 2.949241197395744e-07), (0.0, 0.0, 0.0, 1.0), 32)       
34 (34, b'Rigid91', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Roller_6', (0.0, 0.0, 0.0), (0.0040023423283689985, -0.023029530217353867, -0.010940726896223312), (0.0, 0.0, 0.0, 1.0), 21)
35 (35, b'Rev81', 0, 22, 21, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Wheel_6', (0.707107, 0.0, 0.707107), (4.504245460987266e-07, -4.627898568532185e-07, -9.647336536404427e-08), (0.0, 0.0, 0.0, 1.0), 34) 
36 (36, b'Rigid92', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Roller_7', (0.0, 0.0, 0.0), (0.0040023423283689985, -0.008547530217353869, -0.024019726896223313), (0.0, 0.0, 0.0, 1.0), 21)
37 (37, b'Rev80', 0, 23, 22, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Wheel_7', (0.707107, -0.5, 0.5), (4.504245273498353e-07, 4.479622386444407e-07, 3.1440878729346866e-07), (0.0, 0.0, 0.0, 1.0), 36)      
38 (38, b'Rigid94', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Roller_8', (0.0, 0.0, 0.0), (0.0040023423283689985, 0.010940469782646131, -0.023028726896223314), (0.0, 0.0, 0.0, 1.0), 21)
39 (39, b'Rev79', 0, 24, 23, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'FR_Wheel_8', (0.707107, -0.707107, -0.0), (4.5042449584725697e-07, -1.6064026207157633e-07, 3.4053107091525786e-07), (0.0, 0.0, 0.0, 1.0), 
38)


40 (40, b'BackLeft', 0, 25, 24, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_TopBase_1', (-1.0, 0.0, 0.0), (-0.0759999191525297, -0.09999953021728651, -0.04499972689629067), (0.0, 0.0, 0.0, 1.0), -1)
41 (41, b'Rigid60', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_TopPlate_1', (0.0, 0.0, 0.0), (-0.00405215610350443, 4.697827135080601e-07, 2.7310347214780373e-07), (0.0, 0.0, 0.0, 1.0), 40)        
42 (42, b'Rigid59', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_MC_1', (0.0, 0.0, 0.0), (0.001054819366571591, 4.697826461314003e-07, 2.7310364192692504e-07), (0.0, 0.0, 0.0, 1.0), 41)
43 (43, b'Rigid58', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_BotPlate_1', (0.0, 0.0, 0.0), (-0.01599991915252985, 4.697827134941823e-07, 2.7310370928797234e-07), (0.0, 0.0, 0.0, 1.0), 42)        
44 (44, b'Rigid77', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Roller_6', (0.0, 0.0, 0.0), (-0.004002180633428409, 0.008547469782646132, -0.024019726896358073), (0.0, 0.0, 0.0, 1.0), 41)
45 (45, b'Rev69', 0, 26, 25, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Wheel_6', (-0.707107, 0.5, 0.5), (-2.8872951288866355e-07, 4.91603238608404e-07, 3.1440884201618807e-07), (0.0, 0.0, 0.0, 1.0), 44)     
46 (46, b'Rigid125', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Roller_7', (0.0, 0.0, 0.0), (-0.004002180633428409, -0.010940530217353868, -0.023028726896358074), (0.0, 0.0, 0.0, 1.0), 41)
47 (47, b'Rev65', 0, 27, 26, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Wheel_7', (-0.707107, 0.707107, 0.0), (-2.887295090583941e-07, 1.002057353829966e-07, 3.405311333878544e-07), (0.0, 0.0, 0.0, 1.0), 46) 
48 (48, b'Rigid126', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Roller_2', (0.0, 0.0, 0.0), (-0.004002180633428409, -0.02402053021735387, -0.008547726896358073), (0.0, 0.0, 0.0, 1.0), 41)
49 (49, b'Rev67', 0, 28, 27, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Wheel_2', (-0.707107, 0.5, -0.5), (-2.887295229778153e-07, -4.889121079315953e-07, 2.5128324455166856e-07), (0.0, 0.0, 0.0, 1.0), 48)   
50 (50, b'Rigid127', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Roller_5', (0.0, 0.0, 0.0), (-0.004002180633428409, -0.023029530217353867, 0.010940273103641927), (0.0, 0.0, 0.0, 1.0), 41)
51 (51, b'Rev68', 0, 29, 28, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Wheel_5', (-0.707107, 0.0, -0.707107), (-2.887295612111207e-07, -4.6278980501968103e-07, -3.573192604161557e-07), (0.0, 0.0, 0.0, 1.0), 
50)
52 (52, b'Rigid128', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Roller_4', (0.0, 0.0, 0.0), (-0.004002180633428409, -0.008547530217353869, 0.024020273103641927), (0.0, 0.0, 0.0, 1.0), 41)
53 (53, b'Rev63', 0, 30, 29, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Wheel_4', (-0.707107, -0.5, -0.5), (-2.887295937545331e-07, 4.479623026904314e-07, 2.3179857695180411e-07), (0.0, 0.0, 0.0, 1.0), 52)   
54 (54, b'Rigid129', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Roller_3', (0.0, 0.0, 0.0), (-0.004002180633428409, 0.010940469782646131, 0.023029273103641928), (0.0, 0.0, 0.0, 1.0), 41)
55 (55, b'Rev64', 0, 31, 30, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Wheel_3', (-0.707107, -0.707107, 0.0), (-2.8872959972198187e-07, -1.606402177042887e-07, 2.0567628494089218e-07), (0.0, 0.0, 0.0, 1.0), 
54)
56 (56, b'Rigid130', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Roller_1', (0.0, 0.0, 0.0), (-0.004002180633428409, 0.02402046978264613, 0.008548273103641927), (0.0, 0.0, 0.0, 1.0), 41)
57 (57, b'Rev61', 0, 32, 31, 1, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Wheel_1', (-0.707107, -0.5, 0.5), (-2.8872960120690516e-07, 4.2847763768397856e-07, 2.949241660358745e-07), (0.0, 0.0, 0.0, 1.0), 56)   
58 (58, b'Rigid131', 4, -1, -1, 0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, b'BL_Roller_8', (0.0, 0.0, 0.0), (-0.004002180633428409, 0.023029469782646132, -0.010940726896358072), (0.0, 0.0, 0.0, 1.0), 41)
